762,0 2,3 5,0 50,0
319,0 0,36 6,0 6,28
422,0 1,08 3,0 19,8
625,0 1,63 5,0 31,0
703,0 1,82 4,0 34,0
875,0 3,5 4,0 59,0
687,0 1,8 5,0 32,0
708,0 1,9 3,0 33,0
773,0 2,42 4,0 42,0
779,0 2,29 3,0 41,0
733,0 2,2 4,0 38,0
620,0 1,8 5,0 37,0
597,0 1,86 3,0 35,7
711,0 1,84 4,0 34,0
661,0 1,49 5,0 30,1
602,0 1,72 4,0 39,2
508,0 1,47 4,0 33,3
763,0 2,3 5,0 45,0
419,0 0,68 3,0 19,0
875,0 2,26 2,0 48,0
623,0 1,83 5,0 37,0
773,0 2,37 4,0 42,0
422,0 1,11 4,0 20,0
882,0 3,58 4,0 60,0
423,0 1,06 4,0 20,0
653,0 1,63 4,0 30,2
694,0 1,79 3,0 30,0
885,0 3,85 3,0 66,0
768,0 2,32 6,0 43,0
663,0 1,58 5,0 31,0
420,0 1,03 4,0 20,0
452,0 1,55 3,0 33,0
795,0 2,53 5,0 43,0
652,0 1,45 4,0 30,0
331,0 0,3 4,0 8,0
611,0 1,83 5,0 36,0
488,0 1,4 3,0 33,0
715,0 1,67 3,0 35,0
652,0 1,81 4,0 29,0
780,0 2,5 4,0 43,0
590,0 1,74 3,0 38,6
479,0 1,2 6,0 34,0
