4,7 25 50 110 40 120 22 0 0 0 0 0 0 0 1 1 1 1
4,3 25 11 104 43 130 22 13 0 0 0 0 0 0 1 0 1 1
4,47 25 10 114 43 130 22 23 0 0 0 0 0 0 1 0 0 0
6,5 8,5 20 86 31 750 28 22 0 0 0 0 0 0 1 1 1 1
8,55 11 20 235 87 530 27 24 0 0 0 0 0 0 1 0 1 1
16,6 10 30 186 88 200 73 0 0 0 0 0 0 0 1 1 0 0
4,77 25 10 138 65 140 22 42 40 39 0 0 0 0 1 0 1 0
4 24 5 90 31 237 22 5 0 0 0 0 0 0 1 0 0 0
4,47 25 10 114 43 140 22 41 0 0 0 0 0 0 1 0 1 0
4,77 25 5 138 65 140 22 40 0 0 0 0 0 0 1 0 0 1
8,25 22,5 5 225 83 525 25 27 0 0 0 0 0 0 1 0 0 0
4,47 25 5 114 43 140 22 41 51 0 0 0 0 0 1 0 0 0
7,9 42 0,5 195 72 165 26 24 28 42 25 14 0 0 1 1 1 1
8,36 15 5 220 90 530 27 24 42 0 0 0 0 0 0 1 0 0
5,8 16 5 55 25 275 22 41 40 73 0 0 0 0 0 0 0 1
4,43 17 0,7 110 42 354 22 13 23 0 0 0 0 0 0 0 0 0
5,01 14 0,3 71 34 344 22 26 40 42 0 0 0 0 1 0 0 1
16,32 6 2 193 33 900 83 27 0 0 0 0 0 0 0 0 0 0
