4,7 25,0 50,0 110,0 40,0 120,0 22 0 0 0 0 0 0 0 1 1 1 1
4,3 25,0 11,0 104,0 43,0 130,0 22 13 0 0 0 0 0 0 1 0 1 1
4,47 25,0 10,0 114,0 43,0 130,0 22 23 0 0 0 0 0 0 1 0 0 0
6,5 8,5 20,0 86,0 31,0 750,0 28 22 0 0 0 0 0 0 1 1 1 1
8,55 11,0 20,0 235,0 87,0 530,0 27 24 0 0 0 0 0 0 1 0 1 1
16,6 10,0 30,0 186,0 88,0 200,0 73 0 0 0 0 0 0 0 1 1 0 0
4,77 25,0 10,0 138,0 65,0 140,0 22 42 40 39 0 0 0 0 1 0 1 0
4,0 24,0 5,0 90,0 31,0 237,0 22 5 0 0 0 0 0 0 1 0 0 0
4,47 25,0 10,0 114,0 43,0 140,0 22 41 0 0 0 0 0 0 1 0 1 0
4,77 25,0 5,0 138,0 65,0 140,0 22 40 0 0 0 0 0 0 1 0 0 1
8,25 22,5 5,0 225,0 83,0 525,0 25 27 0 0 0 0 0 0 1 0 0 0
4,47 25,0 5,0 114,0 43,0 140,0 22 41 51 0 0 0 0 0 1 0 0 0
7,9 42,0 0,5 195,0 72,0 165,0 26 24 28 42 25 14 0 0 1 1 1 1
8,36 15,0 5,0 220,0 90,0 530,0 27 24 42 0 0 0 0 0 0 1 0 0
5,8 16,0 5,0 55,0 25,0 275,0 22 41 40 73 0 0 0 0 0 0 0 1
1,47 13,0 0,0 45,0 17,5 72,0 12 3 13 0 0 0 0 0 1 1 1 1
21,0 25,0 0,0 210,0 75,0 385,0 78 77 0 0 0 0 0 0 1 1 1 1
21,2 22,0 0,0 210,0 77,0 360,0 78 77 0 0 0 0 0 0 1 1 1 1
21,5 11,0 0,0 190,0 70,0 360,0 78 77 0 0 0 0 0 0 1 1 1 1
8,4 35,0 0,0 215,0 83,0 325,0 28 24 0 0 0 0 0 0 1 1 1 1
7,7 35,0 0,0 200,0 77,0 335,0 28 24 26 0 0 0 0 0 1 1 1 1
8,9 20,0 0,0 110,0 40,0 205,0 29 47 0 0 0 0 0 0 1 1 1 1
8,5 6,0 0,0 127,0 46,0 165,0 29 47 0 0 0 0 0 0 1 1 1 1
6,5 10,0 0,0 74,0 31,0 195,0 40 41 0 0 0 0 0 0 1 1 1 1
6,7 10,0 0,0 74,0 30,0 200,0 40 41 29 0 0 0 0 0 1 1 1 1
6,5 10,0 0,0 70,0 30,0 210,0 40 41 26 0 0 0 0 0 1 1 1 1
16,45 15,0 0,0 186,0 70,0 420,0 73 74 0 0 0 0 0 0 1 1 1 1
16,2 20,0 0,0 172,0 63,0 320,0 73 74 0 0 0 0 0 0 1 1 1 1
6,15 6,0 0,0 70,0 30,0 350,0 28 22 72 0 0 0 0 0 0 1 0 0
7,8 45,0 0,0 210,0 80,0 275,0 26 24 28 42 29 47 0 0 1 1 1 1
8,52 35,0 0,0 106,0 40,0 190,0 29 30 13 14 12 28 0 0 1 1 1 1
1,81 16,0 0,0 45,0 17,0 59,0 12 30 20 0 0 0 0 0 1 1 1 1
